dish_id,name,restaurant_id,category,price,weight_portion,calories
61,Собеседник Пропасть,3,Десерт,112.6,400g,472
62,Социалистический Тревога,4,Десерт,31.4,1kg,530
63,Банда Оставить,4,Салат,136.8,200g,631
64,Выбирать Правление,4,Гарнир,39.5,400g,654
65,Мелочь Школьный,4,Десерт,136.7,200g,317
66,Зарплата Какой,4,Гарнир,149.6,400g,797
67,Низкий Изучить,4,Горячее,56.8,500g,793
68,Упор Предоставить,4,Супы,69.3,350g,418
69,Вскинуть Видимо,4,Напитки,147.1,300g,1086
70,Встать Слишком,4,Горячее,29.8,200g,1088
71,Решетка Тревога,4,Десерт,130.3,200g,300
72,Спорт Граница,4,Десерт,58.6,400g,693
73,Результат Горький,4,Супы,86.4,200g,650
74,Поздравлять Товар,4,Горячее,73.3,250g,1047
75,Один Мелочь,4,Закуски,126.2,500g,769
76,Вариант Холодно,4,Десерт,148.9,400g,166
77,Мелькнуть Очутиться,5,Закуски,128.5,300g,362
78,Солнце Остановить,5,Супы,69.1,200g,369
79,Виднеться Приличный,5,Напитки,128.3,250g,707
80,Пропасть Зато,5,Горячее,138.8,250g,852
81,Житель Холодно,5,Супы,144.8,1kg,690
82,Витрина Поговорить,5,Десерт,115.0,300g,254
83,Лететь Угодный,5,Салат,144.9,350g,716
84,Неправда Дорогой,5,Салат,15.7,300g,417
85,Сопровождаться Нажать,5,Напитки,68.6,250g,1054
86,Каюта Анализ,5,Десерт,102.5,400g,169
87,Лиловый Палка,5,Салат,30.4,500g,455
88,Нажать Появление,5,Десерт,22.3,1kg,906
89,Отметить Монета,5,Десерт,128.1,250g,1030
90,Руководитель Тесно,5,Супы,23.5,300g,896
91,Нервно Набор,5,Закуски,23.1,300g,580
92,Светило Умолять,5,Напитки,66.1,500g,360
93,Пятеро Иной,5,Горячее,129.6,1kg,982
94,Зима Самостоятельно,5,Десерт,46.6,250g,482
95,Встать Темнеть,5,Закуски,51.2,350g,200
96,Хлеб Устройство,5,Супы,83.0,1kg,993
97,Около Инструкция,5,Закуски,65.8,300g,476
98,Граница Рай,5,Закуски,37.1,350g,229
99,Оборот Жестокий,5,Закуски,111.3,250g,558
100,Прелесть Ягода,5,Закуски,109.2,300g,775
101,Лапа Достоинство,5,Закуски,61.6,250g,198
102,Назначить Скрытый,6,Супы,96.6,300g,720
103,Кожа Труп,6,Закуски,29.2,1kg,721
104,Жидкий Сравнение,6,Горячее,146.3,400g,968
105,Видимо Механический,6,Напитки,124.8,300g,206
106,Болото Передо,6,Салат,68.4,250g,693
107,Рассуждение Коробка,6,Салат,37.2,400g,1039
108,Школьный Бригада,6,Горячее,79.2,350g,1197
109,Салон Рис,6,Салат,93.8,400g,539
110,Поезд Соответствие,6,Горячее,24.0,500g,1043
111,Социалистический Выражаться,6,Салат,121.4,1kg,553
112,Деловой Сохранять,6,Горячее,103.3,200g,826
113,Единый Социалистический,6,Десерт,79.2,500g,405
114,Народ Крыса,6,Напитки,76.5,400g,783
115,Место Через,6,Напитки,98.6,300g,974
116,Потрясти Скользить,6,Напитки,75.5,400g,410
117,Решетка Горький,6,Супы,101.1,500g,926
118,Сверкающий Мелочь,6,Напитки,50.6,400g,766
119,Порт Заведение,6,Гарнир,127.2,1kg,150
120,Беспомощный Ложиться,6,Горячее,73.7,250g,1030
121,Оставить Реклама,6,Закуски,133.7,400g,809
122,Космос Желание,6,Гарнир,105.4,350g,587
123,Полностью Вряд,6,Десерт,111.9,1kg,497
124,Штаб Свежий,6,Напитки,32.3,300g,836
125,Потрясти Способ,6,Салат,63.1,500g,785
126,Нажать Ремень,6,Супы,55.7,250g,200
127,Спалить Привлекать,7,Супы,112.3,400g,299
128,Домашний Заявление,7,Гарнир,99.8,500g,548
129,Применяться Научить,7,Напитки,93.6,350g,968
130,Направо Дремать,7,Супы,45.2,500g,161
131,Набор Горький,7,Закуски,36.8,1kg,1020
132,Услать Горький,7,Супы,51.0,1kg,1101
133,Труп Правый,7,Салат,129.1,250g,398
134,Оборот Правление,7,Гарнир,42.3,1kg,1101
135,Потрясти Сынок,7,Напитки,123.7,400g,799
136,Нож За,7,Закуски,105.6,400g,1183
137,Военный Девка,7,Гарнир,127.2,350g,475
138,Уронить Бок,7,Напитки,112.2,350g,680
139,Хлеб Выкинуть,7,Закуски,65.6,1kg,717
140,Исполнять Кузнец,7,Закуски,121.7,350g,639
141,Металл Помимо,7,Горячее,105.0,200g,735
142,Изба Руководитель,8,Горячее,83.7,300g,315
143,Покидать Непривычный,8,Супы,45.8,250g,934
144,Порядок Столетие,8,Напитки,46.2,500g,588
145,Изба Инфекция,8,Салат,99.9,350g,827
146,Промолчать Ведь,8,Десерт,110.4,350g,277
147,Кольцо Тусклый,8,Супы,101.0,350g,190
148,Висеть Смеяться,8,Закуски,132.9,350g,1126
149,Мелькнуть Крутой,8,Салат,87.0,300g,948
150,Реклама Степь,8,Закуски,100.8,400g,601
151,Радость Эффект,8,Гарнир,59.9,300g,1042
152,Степь Сынок,8,Гарнир,20.9,350g,838
153,Угол Беспомощный,8,Напитки,97.8,500g,488
154,Реклама Монета,8,Закуски,110.7,250g,205
155,Свежий Указанный,8,Гарнир,136.2,400g,205
156,Монета Через,8,Салат,146.6,350g,427
157,Настать Спалить,8,Закуски,109.5,250g,252
158,Болото Мрачно,8,Горячее,92.6,300g,583
159,Куча Конференция,8,Гарнир,81.9,300g,926
160,Механический Полевой,9,Закуски,101.3,300g,317
161,Указанный Успокоиться,9,Гарнир,18.9,500g,256
162,Ночь Редактор,9,Горячее,60.9,500g,290
163,Решение Ставить,9,Закуски,148.4,200g,213
164,Один Теория,9,Супы,55.8,1kg,191
165,Грустный Сопровождаться,9,Десерт,46.2,250g,408
166,Художественный Дорогой,9,Гарнир,38.4,400g,596
167,Темнеть Издали,9,Гарнир,67.4,1kg,905
168,Левый Порт,9,Супы,139.0,400g,384
169,Металл Салон,9,Закуски,48.5,300g,371
170,Прелесть Белье,9,Десерт,20.2,300g,918
171,Умирать Нож,9,Гарнир,55.6,200g,647
172,Совет Порядок,9,Салат,76.7,1kg,397
173,Мотоцикл Гулять,9,Закуски,130.9,1kg,234
174,Единый Пересечь,9,Горячее,124.1,350g,908
175,Степь Инструкция,9,Салат,118.6,500g,848
176,Бегать Очко,9,Салат,101.0,1kg,1153
177,Приходить Приходить,9,Салат,103.7,300g,1091
178,Хозяйка Заявление,9,Напитки,46.3,350g,510
179,Правление Совет,10,Напитки,70.3,400g,1140
180,Граница Горький,10,Гарнир,104.2,1kg,699
181,Сомнительный Хозяйка,10,Горячее,65.2,1kg,327
182,Ручей Эпоха,10,Горячее,107.3,250g,1101
183,Налево Изба,10,Десерт,139.9,500g,926
184,Снимать Ручей,10,Горячее,20.8,350g,815
185,Оставить Протягивать,10,Супы,114.8,250g,876
186,Руководитель Один,10,Закуски,67.9,300g,722
187,Ныне Жить,10,Десерт,71.5,400g,170
188,Полностью Важный,10,Десерт,54.1,200g,644
189,Намерение Возмутиться,10,Напитки,98.2,350g,642
190,Непривычный Тысяча,10,Напитки,112.5,500g,1155
191,Монета Интернет,10,Гарнир,18.5,200g,752
192,Низкий Близко,10,Супы,97.8,500g,648
193,Мелочь Еврейский,10,Горячее,134.1,300g,1119
194,Возможно Роскошный,10,Десерт,123.7,300g,1021
195,Сутки Запретить,10,Напитки,127.7,300g,870
196,Неправда Вчера,10,Напитки,107.9,300g,777
197,Багровый Выразить,10,Горячее,62.2,200g,544
198,Смелый Опасность,10,Горячее,39.4,500g,529
199,Ученый Полоска,10,Супы,59.3,500g,1141
200,Ведь Четыре,10,Горячее,135.7,1kg,729
201,Стакан Решение,10,Салат,54.7,300g,615
202,Инвалид Пламя,11,Супы,76.9,200g,409
203,Поколение Вытаскивать,11,Горячее,24.3,200g,748
204,Виднеться Через,11,Напитки,40.8,500g,1155
205,Провал Очередной,11,Салат,17.5,400g,732
206,Спорт Покидать,11,Гарнир,113.0,350g,847
207,А Потянуться,11,Супы,25.5,300g,1128
208,Похороны Нажать,11,Салат,28.3,350g,1157
209,Торговля Что,11,Салат,133.1,500g,259
210,Банк Салон,11,Супы,45.5,1kg,772
211,Художественный Поздравлять,11,Салат,65.8,200g,1002
212,Дыхание Одиннадцать,11,Десерт,137.0,1kg,612
213,Носок Теория,11,Закуски,122.0,350g,1072
214,Армейский Приятель,11,Гарнир,75.8,1kg,1028
215,Материя Исполнять,11,Горячее,131.4,400g,273
216,Домашний Порог,11,Десерт,35.3,1kg,575
217,Поставить Единый,11,Напитки,58.2,300g,316
218,Правый Мусор,11,Супы,64.1,250g,303
219,Перебивать Непривычный,11,Супы,15.5,350g,1072
220,Необычный Отъезд,11,Напитки,136.6,350g,746
221,Способ Сверкать,11,Салат,62.4,300g,729
222,Монета Спорт,12,Салат,62.8,300g,555
223,Сынок Монета,12,Гарнир,38.5,400g,610
224,Рота Зима,12,Напитки,45.5,300g,441
225,Низкий Встать,12,Салат,27.2,250g,779
226,Холодно Сынок,12,Десерт,131.5,300g,1049
227,Постоянный Нож,12,Салат,110.9,500g,772
228,Реклама Сынок,12,Напитки,97.4,300g,1174
229,Правление Зарплата,12,Десерт,116.1,350g,314
230,Роскошный Возникновение,12,Десерт,23.1,350g,810
231,Смеяться Услать,12,Десерт,66.2,200g,337
232,Радость Аж,12,Супы,132.8,400g,192
233,Военный Самостоятельно,12,Закуски,70.1,400g,232
234,Поколение Естественный,12,Закуски,50.8,350g,1055
235,Беспомощный Засунуть,12,Горячее,52.1,400g,1042
236,Сходить Беспомощный,12,Напитки,115.7,200g,1112
237,Около Славный,12,Горячее,98.6,300g,807
238,Налоговый Спичка,12,Напитки,36.4,1kg,479
239,Мотоцикл Танцевать,12,Горячее,99.3,500g,1164
240,Голубчик Тюрьма,12,Горячее,97.0,1kg,225
241,Палка Выражаться,12,Гарнир,33.0,300g,666
242,Очередной Славный,12,Горячее,38.7,1kg,977
243,Выражение Тюрьма,12,Закуски,120.3,1kg,152
244,Тысяча Иной,13,Закуски,126.1,350g,996
245,Подземный Передо,13,Салат,53.4,400g,890
246,Медицина Серьезный,13,Десерт,117.0,500g,1055
247,Конструкция Вздрагивать,13,Закуски,25.5,250g,696
248,Прежде Миг,13,Десерт,41.8,300g,1047
249,Бочок Девка,13,Напитки,114.2,200g,209
250,Запеть Низкий,13,Напитки,139.6,1kg,640
251,Человечек Столетие,13,Напитки,47.4,300g,178
252,Парень Бегать,13,Десерт,98.5,200g,610
253,Умирать Посидеть,13,Закуски,38.2,350g,390
254,Поговорить Пища,13,Напитки,46.5,350g,747
255,Результат Мягкий,13,Десерт,70.9,350g,1138
256,Аллея Деловой,13,Гарнир,64.9,350g,446
257,Вряд Сходить,13,Гарнир,54.0,400g,1190
258,Эффект Армейский,13,Напитки,42.9,1kg,292
259,Человечек Дружно,13,Горячее,99.9,300g,1189
260,Коробка Вчера,13,Горячее,15.5,300g,761
261,Трясти Песенка,13,Закуски,135.2,400g,1152
262,Деньги Вчера,13,Закуски,45.4,350g,1141
263,Умолять Построить,13,Горячее,83.0,400g,922
264,Дорогой Ботинок,13,Гарнир,80.9,1kg,536
265,Тысяча Упорно,13,Напитки,63.9,400g,934
266,Песенка Находить,13,Супы,99.1,200g,801
267,Бетонный Поставить,13,Напитки,111.8,500g,930
268,Около Уронить,13,Гарнир,148.5,250g,1164
269,Подробность Угол,14,Супы,117.8,400g,829
270,Чем Засунуть,14,Закуски,35.5,1kg,1051
271,Юный Развитый,14,Салат,122.7,350g,181
272,Место Выбирать,14,Напитки,44.5,350g,466
273,Триста Уничтожение,14,Салат,111.1,1kg,692
274,Падать Пробовать,14,Горячее,142.6,500g,964
275,Возможно Приятель,14,Напитки,31.4,1kg,822
276,Банк Помимо,14,Закуски,124.2,350g,798
277,Белье Ягода,14,Напитки,114.9,1kg,223
278,Пастух Увеличиваться,14,Десерт,29.0,250g,738
279,Другой Посидеть,14,Супы,33.5,350g,351
280,Палата Выраженный,14,Закуски,144.7,500g,355
281,Покинуть Белье,14,Гарнир,49.0,500g,763
282,Устройство Неожиданный,14,Салат,24.4,300g,264
283,Свежий Медицина,14,Горячее,88.4,300g,1032
284,Близко Дурацкий,15,Супы,123.7,350g,518
285,Вытаскивать Угроза,15,Супы,50.8,200g,933
286,Район Мрачно,15,Десерт,64.3,350g,443
287,Природа Лапа,15,Супы,109.4,500g,670
288,Поколение Упорно,15,Гарнир,67.2,500g,169
289,Носок Полевой,15,Закуски,110.2,300g,473
290,Настать Актриса,15,Салат,105.4,300g,762
291,Пятеро Космос,15,Напитки,101.8,500g,662
292,Совет Пространство,15,Гарнир,76.8,250g,937
293,Тута Обида,15,Закуски,113.9,200g,635
294,Медицина Собеседник,15,Гарнир,132.1,300g,755
295,Цвет Банда,15,Напитки,75.4,200g,960
296,Четко Другой,15,Горячее,16.6,400g,250
297,Рассуждение Тяжелый,15,Десерт,116.7,1kg,736
298,Кидать Порядок,15,Закуски,62.1,400g,871
299,Мотоцикл Полюбить,15,Супы,145.3,250g,663
300,Голубчик Солнце,15,Напитки,150.0,500g,430
301,Палец Очутиться,16,Салат,143.5,500g,230
302,Ложиться Головка,16,Горячее,105.2,200g,897
303,Приходить Засунуть,16,Напитки,41.9,200g,754
304,Вывести Процесс,16,Горячее,100.0,250g,561
305,Счастье Зеленый,16,Супы,125.4,300g,1177
306,Одиннадцать Реклама,16,Горячее,48.6,300g,1136
307,Зима Волк,16,Закуски,75.4,500g,843
308,Каюта Штаб,16,Закуски,38.5,350g,304
309,Слишком Подробность,16,Супы,61.2,1kg,963
310,Ведь Человечек,16,Закуски,129.1,300g,334
311,Сынок Академик,16,Закуски,95.8,200g,691
312,Рот Постоянный,16,Десерт,40.3,350g,904
313,А Бетонный,16,Напитки,68.6,400g,930
314,Даль Мотоцикл,16,Закуски,145.7,300g,371
315,Ботинок Лететь,16,Напитки,62.8,350g,201
316,Жестокий Радость,16,Десерт,129.9,300g,603
317,Зачем Четыре,16,Напитки,27.9,500g,1100
318,Болото Что,16,Напитки,76.8,500g,986
319,Прелесть Отдел,16,Салат,43.6,200g,226
320,Прежний Возмутиться,16,Горячее,115.8,200g,349
321,Что Монета,16,Супы,125.0,250g,945
322,Головной Зима,16,Гарнир,90.9,500g,1008
323,Предоставить Угодный,16,Десерт,46.6,350g,352
324,Мрачно Палата,16,Закуски,115.2,400g,985
325,Мучительно Коробка,16,Горячее,21.7,500g,908
326,Поймать Рис,17,Гарнир,106.0,250g,892
327,Юный Сходить,17,Салат,90.2,400g,884
328,Слишком Эффект,17,Салат,96.5,300g,538
329,Плод Четко,17,Салат,108.1,200g,584
330,Спасть Печатать,17,Напитки,145.9,400g,193
331,Зачем Демократия,17,Салат,83.3,250g,407
332,Конструкция Жестокий,17,Закуски,130.6,250g,290
333,Подробность Четыре,17,Закуски,128.5,250g,592
334,Товар Спорт,17,Закуски,62.7,300g,452
335,Намерение Результат,17,Закуски,137.0,200g,717
336,Совет Отражение,17,Закуски,44.6,250g,663
337,Счастье Пламя,17,Закуски,50.7,200g,202
338,Тяжелый Волк,17,Супы,18.0,300g,637
339,Рабочий Наткнуться,17,Десерт,81.3,200g,506
340,Плавно Плод,17,Горячее,25.7,250g,1012
341,Рот Бок,17,Десерт,38.2,500g,280
342,Конструкция Легко,17,Гарнир,106.8,1kg,891
343,Угодный Конференция,17,Десерт,136.5,200g,1075
344,Мусор Сынок,18,Супы,140.9,200g,767
345,Ход Поймать,18,Гарнир,146.7,200g,274
346,Висеть Ярко,18,Гарнир,97.2,350g,371
347,Выкинуть Предоставить,18,Гарнир,105.8,200g,315
348,Полюбить Пересечь,18,Горячее,139.5,250g,284
349,Командование Полностью,18,Супы,71.3,400g,815
350,Труп Адвокат,18,Гарнир,137.3,400g,753
351,Механический Функция,18,Гарнир,118.5,400g,1031
352,Висеть Болото,18,Салат,38.4,1kg,590
353,Цель Грустный,18,Гарнир,107.4,250g,997
354,Термин Покидать,18,Горячее,107.8,350g,1001
355,Применяться Отъезд,18,Напитки,34.4,300g,1024
356,Разуметься Дружно,18,Горячее,67.2,300g,462
357,Изба Прощение,18,Напитки,112.1,200g,336
358,Дьявол Доставать,18,Закуски,32.4,200g,1034
359,Недостаток Бровь,18,Салат,91.3,1kg,416
360,Слишком Оставить,18,Десерт,27.2,400g,825
361,Трубка Дорогой,18,Напитки,40.0,350g,874
362,Порт Ложиться,18,Закуски,101.6,1kg,255
363,Шлем Пространство,18,Горячее,137.9,300g,870
364,Необычный Цвет,18,Салат,133.3,400g,585
365,Грустный Ботинок,18,Супы,149.4,350g,609
366,Цепочка Помолчать,18,Закуски,37.1,300g,902
367,Мрачно Вариант,19,Закуски,72.0,400g,613
368,Теория Каюта,19,Закуски,102.8,1kg,203
369,Остановить Монета,19,Десерт,149.7,1kg,697
370,Дошлый Горький,19,Салат,51.9,300g,782
371,Правый Похороны,19,Горячее,86.8,200g,521
372,Заложить Медицина,19,Закуски,44.3,400g,970
373,Еврейский Прощение,19,Салат,44.0,500g,212
374,Мрачно Секунда,19,Салат,123.6,250g,920
375,Головной Следовательно,19,Гарнир,107.9,300g,472
376,Грудь Команда,19,Горячее,78.8,500g,814
377,Более Пропадать,19,Закуски,131.2,400g,323
378,Порода Возбуждение,19,Салат,46.8,250g,251
379,Второй Бригада,19,Напитки,31.7,300g,1057
380,Зарплата Поймать,19,Напитки,101.8,350g,1055
381,Столетие Покинуть,19,Гарнир,70.9,250g,1199
382,Обида Заложить,19,Салат,85.6,350g,377
383,Угол Аллея,20,Напитки,136.4,350g,781
384,Фонарик Эффект,20,Салат,60.1,350g,262
385,Пространство Деньги,20,Салат,56.8,300g,582
386,Настать Отъезд,20,Закуски,43.1,1kg,673
387,Проход Еврейский,20,Горячее,82.1,200g,165
388,Еврейский Командование,20,Гарнир,103.1,250g,414
389,Мальчишка Смертельный,20,Гарнир,124.0,500g,621
390,Мусор Войти,20,Десерт,129.4,1kg,875
391,Означать Плясать,20,Салат,96.3,1kg,236
392,Сохранять Висеть,20,Гарнир,18.8,350g,309
393,Князь Другой,20,Закуски,79.1,400g,1029
394,Затянуться Вариант,20,Десерт,97.8,500g,1005
395,Потянуться Металл,20,Горячее,38.5,350g,192
396,Цепочка Расстройство,20,Горячее,50.1,1kg,1092
397,Жестокий Каюта,20,Закуски,89.1,200g,1044
398,Угол Полевой,20,Закуски,36.6,250g,1042
399,Наслаждение Рабочий,20,Десерт,97.0,400g,311
400,Аллея Вперед,20,Гарнир,78.5,500g,845
401,Командир Поймать,20,Супы,83.2,1kg,494
