history_id,employee_id,change_date,new_salary
88,36,2023-10-24,51740
89,36,2023-11-02,65426
90,36,2023-12-24,71195
91,37,2026-04-24,54239
92,37,2026-04-26,57342
93,38,1989-10-28,64957
94,39,2004-09-18,35139
95,39,2010-01-07,62819
96,39,2012-07-11,77458
97,39,2015-02-26,78854
98,39,2017-05-22,95519
99,40,2024-02-09,31759
100,40,2024-06-01,33200
101,40,2024-08-30,37606
102,40,2025-02-03,44322
103,40,2025-02-10,47944
104,41,2000-06-20,51389
105,41,2004-05-28,52321
106,41,2011-07-24,55998
107,41,2022-05-02,65112
108,42,2019-09-25,64050
109,43,2010-06-04,89054
110,43,2025-03-13,145909
111,44,2016-08-11,41659
112,44,2022-01-04,52224
113,45,2025-06-13,54603
114,45,2025-07-09,58301
115,45,2025-09-01,68016
116,46,2010-03-17,40282
117,47,2023-09-02,35616
118,47,2023-09-10,54908
119,47,2025-01-17,95444
120,48,2008-12-01,38075
121,48,2020-06-25,39678
122,48,2025-04-07,47665
123,49,1992-11-29,40752
124,49,1994-01-22,65123
125,49,2010-08-31,116569
126,50,2023-04-12,47455
127,51,2022-01-06,35055
128,51,2023-10-02,42767
129,51,2025-08-20,48907
130,52,1998-02-25,43965
131,52,2017-01-20,115880
132,53,2013-12-27,114085
133,54,2000-02-08,36699
134,54,2003-07-09,47679
135,54,2006-04-20,53587
136,54,2023-04-23,59146
137,54,2025-03-21,71285
138,55,2025-07-07,81441
139,56,2019-12-13,53104
140,57,2022-12-18,48177
141,57,2024-03-03,57361
142,58,1993-02-20,31721
143,58,2002-10-24,36769
144,58,2003-06-16,77353
145,59,2017-02-12,120173
146,60,2025-07-24,108240
147,60,2026-02-10,108386
148,60,2026-02-12,126951
149,61,2010-02-08,30404
150,61,2016-08-15,42623
151,61,2020-08-07,55129
152,62,2025-01-31,55414
153,62,2025-11-26,76930
154,63,2020-06-12,61816
155,63,2025-06-07,103339
156,63,2025-09-20,106244
157,64,2024-03-24,52227
158,64,2024-11-02,119825
159,64,2026-04-25,123136
160,65,1996-03-06,39099
161,65,2013-03-05,83719
162,66,2025-12-06,65180
163,66,2026-05-20,137154
164,67,2019-01-18,31036
165,67,2024-12-01,41267
166,68,2019-08-10,44722
167,69,2020-02-08,39822
168,69,2021-12-28,56704
169,70,2025-10-16,35041
170,70,2026-03-29,67535
171,71,2024-10-02,91880
172,71,2025-09-15,93264
173,72,2006-04-18,111924
174,72,2021-04-20,144842
175,73,2017-05-09,110828
176,73,2022-05-01,136542
177,74,2025-04-21,74970
178,75,2003-12-10,45075
179,76,2007-09-04,55932
180,76,2021-09-26,80001
181,77,2008-10-28,70644
182,77,2013-12-01,83025
183,78,2026-01-29,73193
184,78,2026-01-30,124080
185,79,2024-01-06,37055
186,79,2024-07-25,43617
187,80,1994-05-24,47842
188,80,2006-11-09,107908
189,80,2011-12-05,115332
190,80,2023-03-06,116099
191,81,2021-12-29,69532
192,81,2023-06-03,85309
193,82,2011-11-24,41641
194,82,2013-01-29,43163
195,82,2015-06-15,50590
196,82,2016-10-17,61392
197,82,2018-03-03,90488
198,83,1997-11-23,68200
199,83,2005-04-29,71830
200,83,2015-10-14,94357
201,83,2025-04-18,105481
202,83,2025-07-29,108146
203,84,2007-10-22,72714
204,84,2013-09-08,79290
205,84,2026-04-17,121678
206,85,2026-02-27,81502
207,85,2026-03-19,106469
208,86,2022-04-10,103905
209,86,2025-05-28,131384
210,87,2023-10-22,127153
211,88,2023-01-29,33527
212,88,2023-05-06,53583
213,88,2023-08-13,90505
214,88,2023-08-24,102102
215,88,2023-11-20,114593
216,89,2015-05-01,43739
217,89,2017-10-06,49092
218,89,2018-09-25,58734
219,89,2025-08-25,75405
220,89,2026-04-21,77606
221,90,2025-05-17,125813
222,91,2023-08-01,48242
223,91,2023-08-12,83627
224,91,2024-11-16,95444
225,91,2026-03-31,107000
226,92,1992-11-07,45861
227,92,1996-01-01,46559
228,92,2014-01-31,77196
229,93,2003-11-09,54706
230,93,2005-11-11,57730
231,93,2016-09-08,69444
232,94,2026-04-27,102277
233,95,2024-06-24,82534
234,95,2024-06-30,92814
235,95,2024-09-01,100040
236,95,2026-01-18,106315
237,95,2026-05-12,134155
238,96,2019-01-31,84827
239,96,2021-03-01,120663
240,96,2023-07-03,125990
241,97,2000-10-08,53562
242,97,2009-09-11,65186
243,97,2014-11-26,68683
244,98,2023-10-08,32784
245,98,2024-06-12,33583
246,98,2025-11-06,46582
247,99,2024-01-26,51548
248,99,2024-12-07,51780
249,99,2026-06-02,57477
250,100,2011-08-30,72401
251,100,2019-07-17,81588
252,101,2018-09-22,103822
253,101,2018-12-06,114545
254,101,2021-08-28,148864
255,102,2021-03-25,51731
256,102,2022-08-19,56189
257,102,2025-10-04,73972
258,103,1993-06-07,31382
259,103,2007-03-07,42924
260,103,2009-06-24,43886
261,103,2011-01-29,86420
262,103,2019-07-12,103517
263,104,2022-01-26,63467
264,104,2022-10-23,70735
265,105,2019-09-19,48284
266,105,2023-08-05,49022
267,105,2025-05-16,58136
268,106,2011-11-01,37242
269,106,2014-11-04,44607
270,106,2025-03-21,48418
271,107,2009-02-16,60347
272,107,2015-04-11,94496
273,108,2023-09-21,107147
274,108,2025-03-17,120496
275,108,2025-10-05,140898
276,109,2002-07-11,33219
277,109,2013-06-10,75215
278,109,2018-04-27,102518
279,110,2013-01-11,68722
280,110,2017-06-16,149540
281,111,1996-02-28,35626
282,111,2021-07-27,68906
283,112,2025-04-07,43804
284,113,2024-03-22,48569
285,113,2024-10-18,70880
286,113,2025-05-08,74966
287,113,2025-10-07,75656
288,113,2026-04-12,101261
289,114,1980-09-18,43557
290,114,2006-07-01,91645
291,115,2003-01-30,75652
292,115,2008-05-06,92411
293,115,2022-07-07,100515
294,116,2020-12-11,67742
295,117,1976-01-11,71800
296,117,1978-04-02,89303
297,117,1998-03-04,138567
298,118,2024-01-01,42540
299,119,1997-08-18,125215
300,120,2025-12-07,31480
301,120,2026-01-03,52483
302,120,2026-04-06,72411
303,121,2016-07-10,40771
304,121,2018-01-21,45985
305,121,2025-03-19,71266
306,122,1992-09-20,40494
307,122,2019-02-08,66169
308,122,2020-07-04,68569
309,123,2022-09-23,85885
310,123,2026-05-13,119415
311,124,2000-04-16,36044
312,124,2013-04-20,37597
313,124,2015-09-21,43272
314,124,2023-01-29,50635
315,124,2025-07-14,54168
316,125,2026-05-22,91990
317,126,2011-07-24,33826
318,126,2020-12-24,81849
319,126,2022-09-30,131382
320,127,2022-07-23,55863
321,127,2023-08-01,88926
322,127,2025-08-29,144363
323,128,1998-10-01,30145
324,128,2002-03-24,42741
325,128,2012-02-07,49038
326,129,2026-04-22,36743
327,129,2026-04-27,39120
328,129,2026-05-09,53833
329,130,2023-12-21,38200
330,130,2024-06-25,43336
331,130,2025-11-02,97080
332,131,2013-07-19,54505
333,131,2021-07-09,100371
334,131,2024-07-11,145932
335,132,2014-04-20,42915
336,132,2017-04-14,82245
337,133,2016-04-27,64387
338,133,2017-05-25,99087
339,134,2025-10-08,94157
340,134,2025-12-30,99168
341,134,2026-04-03,127580
342,135,2015-01-30,37486
343,135,2018-06-15,50539
344,135,2018-10-11,55469
345,135,2022-08-13,55725
346,135,2024-09-06,63834
347,136,2011-01-18,60006
348,136,2022-03-13,76655
349,137,2016-07-21,39746
350,137,2017-01-18,50135
351,137,2019-09-20,51221
352,138,2017-01-11,47556
353,138,2020-02-14,118094
354,138,2022-07-28,139374
355,139,2026-01-27,61270
356,139,2026-03-01,143931
357,140,2020-04-19,53992
358,140,2021-08-14,130673
359,141,1989-08-19,48528
360,141,2004-03-14,102031
361,142,1997-04-29,57409
362,142,2011-05-05,69087
363,142,2022-07-15,86112
364,143,2017-03-06,55814
365,144,2022-06-23,42173
366,144,2026-03-23,65105
367,145,2025-07-16,100435
368,145,2025-09-20,139641
369,146,2023-05-27,41353
370,146,2023-10-30,66366
371,146,2025-03-20,69816
372,147,2000-03-02,56591
373,148,2001-12-05,42261
374,148,2013-01-19,78290
375,149,2025-01-13,37389
376,149,2026-06-07,41607
377,150,2020-11-29,30628
378,150,2021-07-21,53529
379,150,2025-11-21,64164
380,151,2014-11-22,55575
381,151,2025-10-14,147756
382,152,2023-05-10,96248
383,152,2024-05-11,103607
384,152,2024-08-23,115599
385,152,2025-09-15,122502
386,153,2013-07-04,46112
387,153,2022-11-15,51164
388,154,1998-03-06,88176
389,154,2003-01-26,118135
390,155,2014-10-21,40835
391,155,2018-10-29,98028
392,156,2022-06-24,58905
393,156,2023-03-09,68284
394,156,2026-04-16,114531
395,157,2021-08-11,121987
396,158,2021-09-06,48918
397,158,2024-06-12,71439
398,159,2023-06-22,93545
399,160,2023-07-02,42165
400,160,2026-04-11,44278
401,161,2023-08-20,46230
402,161,2024-09-02,48013
403,161,2025-03-06,49329
404,162,1980-02-28,44969
405,162,2016-11-30,65112
406,162,2019-06-19,95723
407,163,2017-04-03,78085
408,163,2020-09-16,137909
409,163,2022-09-13,148348
410,164,2016-04-04,35453
411,164,2021-07-01,87850
412,164,2025-09-18,117993
413,165,2023-03-14,43423
414,165,2024-05-01,85725
415,165,2024-12-22,131715
416,166,1989-12-17,62444
417,166,1998-04-10,69021
418,166,2023-03-30,104722
419,167,2024-07-20,34224
420,167,2025-07-14,64447
421,167,2025-12-02,88947
422,167,2026-02-02,136276
423,168,2019-01-31,35700
424,168,2025-05-09,70005
425,169,2021-09-21,31923
426,169,2025-12-01,45273
427,170,2017-06-24,43754
428,170,2020-03-23,45528
429,170,2021-03-14,63788
430,171,2017-06-28,51755
431,171,2021-09-10,75957
432,171,2022-06-03,86120
433,171,2024-03-05,101605
434,172,2018-08-08,36770
435,172,2018-10-07,55717
436,172,2023-06-17,61079
437,173,2014-01-07,37780
438,173,2018-05-03,75982
439,173,2018-06-17,104720
440,173,2019-09-04,126846
441,174,2024-09-14,52069
442,174,2025-12-06,72421
443,174,2026-06-05,99614
444,175,2000-05-17,65041
445,175,2017-04-28,67923
446,175,2021-03-03,68356
447,175,2024-09-19,105069
448,175,2025-01-16,141259
449,176,1991-07-08,42481
450,176,1999-06-11,47771
451,176,2003-10-18,83948
452,176,2021-05-17,97425
453,176,2021-12-02,100552
454,177,2026-05-05,46631
455,177,2026-05-05,47392
456,177,2026-05-13,66349
457,177,2026-05-14,115969
458,177,2026-06-01,121609
459,178,2022-07-15,51108
460,178,2024-05-28,75003
461,179,2007-11-25,42868
462,179,2009-10-13,52158
463,179,2010-04-11,54951
464,179,2013-05-31,55915
465,180,1987-05-13,105684
466,180,2009-11-22,133032
467,181,2025-05-07,57146
468,181,2025-11-14,71144
469,181,2026-05-05,93476
470,182,2018-04-12,32474
471,182,2024-09-27,55396
472,183,2026-01-24,42202
473,183,2026-04-30,130779
474,183,2026-05-06,132459
475,184,2016-07-30,48233
476,184,2018-06-29,71946
477,185,2021-03-29,78374
478,185,2023-01-23,89597
479,185,2025-05-30,118561
480,186,2024-05-26,30162
481,186,2025-02-03,51449
482,186,2025-11-26,68139
483,186,2026-02-19,80733
484,186,2026-04-21,84548
485,187,2022-02-18,42208
486,187,2023-03-30,90089
487,187,2023-04-23,125804
488,187,2024-03-14,149769
489,188,2012-05-07,38300
490,188,2012-10-28,76952
491,188,2014-11-20,103483
492,189,2016-12-04,58551
493,189,2018-08-08,82129
494,189,2019-03-21,99682
495,190,2010-12-17,43883
496,190,2017-02-26,47598
497,190,2017-09-18,62421
498,190,2023-05-14,84057
499,190,2024-06-14,90196
500,191,2018-06-24,48585
501,191,2025-03-15,81704
502,192,2025-07-05,105750
503,192,2026-04-12,126991
504,193,1977-06-29,105836
505,194,2001-05-02,36021
506,194,2003-03-07,36345
507,194,2007-09-29,75054
508,194,2019-12-24,108937
509,195,2019-01-20,125823
510,196,2005-06-01,32134
511,196,2006-09-11,90238
512,196,2011-04-24,121691
513,197,2026-05-22,89808
514,198,2025-06-17,30011
515,198,2025-07-04,37230
516,198,2025-09-28,37479
517,198,2026-05-26,44705
518,199,2022-06-20,47290
519,199,2024-07-18,56518
520,199,2024-10-27,86072
521,199,2025-01-17,120255
522,199,2025-09-14,137880
523,200,2001-01-20,50837
524,200,2016-11-23,65916
525,200,2018-09-13,69566
526,200,2024-05-24,98153
527,201,1999-05-27,82516
528,202,2025-11-24,32700
529,202,2026-06-07,59080
530,203,2020-06-21,59615
531,203,2024-10-09,62280
532,204,1988-09-11,36787
533,204,2012-06-19,81949
534,204,2018-07-11,129539
535,205,2026-03-16,45344
536,205,2026-04-05,58130
537,205,2026-05-21,70433
538,206,1994-06-30,42475
539,206,2018-01-31,122235
540,206,2019-09-03,127404
541,207,2025-04-23,128815
542,208,2025-10-08,38696
543,208,2026-03-01,79210
544,209,2026-04-19,59167
545,209,2026-05-23,64042
546,209,2026-06-07,66111
547,210,2006-06-22,89986
548,211,2004-05-11,45806
549,211,2010-08-22,137100
550,211,2012-05-31,148794
551,212,2006-07-01,39283
552,212,2007-11-15,47324
553,212,2008-07-26,85353
554,212,2019-11-30,92613
555,212,2024-09-12,119482
556,213,2025-09-13,41708
557,213,2025-11-30,119569
558,214,1987-04-22,36712
559,214,1988-06-25,36763
560,214,2006-03-25,72850
561,215,2003-09-26,69223
562,215,2014-01-05,143364
563,216,2020-09-18,51813
564,217,2012-06-09,38725
565,217,2016-06-16,39362
566,217,2019-01-14,66318
567,218,2019-07-13,105771
568,219,2010-09-21,109995
569,219,2012-02-12,115199
570,219,2021-09-13,145708
571,220,1995-07-04,101385
572,221,2011-02-24,57925
573,221,2025-01-03,145458
574,222,1991-10-11,39920
575,222,1999-03-24,56981
576,222,2013-08-07,74663
577,223,2012-10-17,58992
578,223,2013-12-03,86358
579,223,2020-08-15,89941
580,224,2000-09-03,31646
581,224,2012-06-22,43280
582,225,2005-05-01,123283
583,226,2018-05-26,55292
584,227,2003-12-03,76076
585,227,2009-06-19,86280
586,227,2011-01-25,104569
587,228,2022-12-07,39163
588,228,2026-01-10,90940
589,229,2013-05-15,114491
590,229,2023-01-28,116983
591,230,2019-10-26,120694
592,231,2022-05-09,108644
593,231,2026-03-04,124526
594,231,2026-04-20,130476
595,232,2014-01-21,75251
596,232,2014-06-11,81050
597,232,2015-08-25,87537
598,233,2024-05-15,124518
599,234,2024-12-19,36732
600,234,2025-04-13,39884
601,234,2026-03-12,46965
602,234,2026-05-02,56011
603,235,1978-11-07,33090
604,235,1990-03-31,42252
605,235,2018-10-14,42799
606,236,2013-02-12,114694
607,236,2025-11-11,143150
608,237,2009-01-11,116858
609,238,2018-05-10,61370
610,238,2018-07-23,80578
611,238,2021-04-25,94865
612,238,2024-01-02,141498
613,239,2021-05-20,76342
614,240,2016-01-24,107847
615,240,2017-08-20,144662
616,241,2022-03-14,41947
617,242,2020-06-19,30790
618,242,2022-02-26,50740
619,242,2023-01-15,53664
620,242,2024-07-12,82437
621,243,2014-06-05,137218
622,244,2022-11-02,52645
623,244,2024-01-06,77895
624,244,2025-08-13,85163
625,244,2025-12-17,98756
626,245,2009-01-04,32187
627,245,2015-07-28,39567
628,245,2026-05-30,106039
629,246,2024-10-27,30903
630,246,2024-12-10,47182
631,246,2026-02-14,79535
632,247,1994-03-08,37925
633,247,2022-03-11,102781
634,248,2015-12-01,67550
635,248,2015-12-31,82163
636,248,2019-04-03,96402
637,248,2022-12-26,112388
638,248,2025-09-21,133375
639,249,2025-02-09,84451
640,249,2025-04-14,85518
641,249,2026-02-09,119730
642,250,2007-01-11,40803
643,250,2014-03-09,113956
644,250,2024-01-14,122978
645,251,2026-02-24,40006
646,251,2026-03-14,70373
647,251,2026-03-18,78652
648,252,2026-02-10,70620
649,252,2026-03-10,143952
650,253,2004-10-14,96370
651,254,2016-05-18,50365
652,254,2017-03-14,72827
653,254,2018-12-11,100305
654,254,2018-12-17,135914
655,254,2023-02-22,148451
656,255,2018-11-29,38665
657,255,2019-11-23,95936
658,256,2008-12-07,87342
659,256,2015-12-26,130023
660,257,2019-02-09,37589
661,257,2020-02-10,61278
662,257,2020-06-12,96606
663,258,2020-10-16,86948
664,258,2024-09-15,112924
665,259,2009-05-09,83207
666,260,2025-10-02,33606
667,260,2026-03-10,50269
668,260,2026-04-01,77700
669,261,1995-12-09,37827
670,261,2018-05-26,41511
671,261,2021-07-18,67884
672,262,2021-04-26,85890
673,263,2025-09-30,69643
674,264,2008-07-19,128470
675,265,2024-05-18,52721
676,265,2024-09-03,63647
677,266,2021-07-09,81313
678,266,2021-12-22,83903
679,266,2022-07-01,86009
680,267,2022-10-07,51884
681,267,2025-05-05,78741
682,267,2026-01-17,126159
683,268,2000-03-28,137794
684,269,2001-10-17,38806
685,269,2004-10-29,54016
686,269,2024-09-15,60631
687,270,2006-09-28,33847
688,270,2010-07-29,73910
689,270,2010-09-07,86272
690,270,2019-10-04,118148
691,271,2025-07-29,38371
692,271,2026-01-01,138885
693,272,2011-02-26,105582
694,272,2012-12-06,126761
695,273,1991-01-09,59831
696,273,1999-11-01,62515
697,273,2003-04-27,75804
698,274,1995-12-18,37266
699,274,1997-05-21,95484
700,274,2000-01-29,96349
701,275,2010-09-28,50618
702,275,2011-04-14,51873
703,275,2021-03-31,78193
704,275,2023-01-07,109066
705,276,2008-03-23,33371
706,276,2023-06-01,47180
707,277,2010-12-29,45117
708,277,2013-04-21,118358
709,277,2016-10-28,124736
710,277,2023-04-17,140160
711,278,1989-09-18,96692
712,278,2025-09-21,105193
713,279,2023-05-31,132231
714,280,2025-08-16,30805
715,280,2025-11-20,33013
716,280,2026-02-01,46026
717,280,2026-06-07,92044
718,281,2017-07-05,55098
719,281,2020-11-16,81033
720,282,2009-03-08,31158
721,282,2010-06-11,35864
722,282,2015-09-24,48116
723,282,2016-06-19,53397
724,282,2019-03-04,55096
725,283,2017-11-11,59427
726,283,2024-05-01,84967
727,283,2025-03-14,145030
728,284,2022-04-07,84559
729,284,2023-09-12,97240
730,285,2009-07-28,40208
731,285,2009-10-19,65554
732,285,2013-02-11,71934
733,285,2018-09-10,104912
734,285,2020-10-21,108676
735,286,2025-12-29,62901
736,286,2026-02-01,69041
737,287,2005-06-02,36903
738,287,2015-09-04,53507
739,287,2020-11-28,122998
740,288,2012-06-16,63801
741,288,2025-09-01,86019
742,289,2006-12-15,34517
743,289,2010-06-24,48501
744,289,2012-01-17,56275
745,289,2016-07-20,60480
746,289,2024-09-05,65856
747,290,2024-05-12,70723
748,290,2024-07-29,72899
749,290,2024-09-25,141298
750,291,2004-01-15,98838
751,292,2016-07-21,78354
752,292,2018-01-31,97640
753,293,1988-04-16,103899
754,293,2007-08-25,117518
755,294,2014-11-21,61795
756,294,2015-04-11,90807
757,294,2024-05-21,100521
758,295,2021-06-27,46166
759,295,2024-11-04,50057
760,296,2005-06-12,30835
761,296,2005-09-28,49735
762,296,2010-03-25,55614
763,296,2016-12-01,62129
764,296,2023-04-21,100648
765,297,2012-08-04,31566
766,297,2014-11-18,45269
767,297,2018-02-23,52703
768,297,2022-05-25,65490
769,297,2023-11-26,82143
770,298,2024-05-29,30314
771,298,2024-09-22,52723
772,298,2025-09-04,53566
773,299,1994-02-16,30191
774,299,1994-09-16,70306
775,299,1998-07-05,79319
776,299,2003-11-19,116154
777,299,2006-11-27,124689
778,300,2026-05-09,108690
779,301,2008-12-17,45608
780,301,2015-07-20,57513
781,301,2021-06-09,93578
782,302,1995-09-13,31962
783,302,2007-08-10,48639
784,303,2001-07-25,32877
785,303,2003-10-23,36096
786,303,2014-07-05,39330
787,303,2023-11-09,48338
788,303,2026-02-11,73029
789,304,2006-06-06,57070
790,304,2006-06-21,64062
791,304,2013-09-24,75930
792,304,2018-03-05,85410
793,304,2025-10-13,85851
794,305,2017-09-22,41128
795,305,2018-01-06,90091
796,305,2019-11-27,106122
797,305,2026-03-04,117993
798,306,2023-07-05,146585
799,307,1986-11-25,124675
800,308,1995-08-20,34904
801,308,1998-12-09,67212
802,308,2003-06-03,68790
803,308,2022-01-18,80483
804,309,2021-06-11,65166
805,310,1989-05-31,38566
806,310,1997-06-27,45517
807,310,2020-04-15,78770
808,311,2025-05-29,43941
809,311,2025-07-23,44947
810,312,2021-05-25,81505
811,312,2023-09-27,118282
812,313,2024-08-05,72762
813,313,2024-12-31,126384
814,313,2025-06-30,146042
815,314,2007-08-25,47822
816,314,2019-11-11,87749
817,315,2022-03-23,56569
818,315,2024-07-23,138617
819,316,2005-05-09,145987
820,317,2024-03-11,44283
821,317,2025-07-31,50369
822,317,2025-10-01,128907
823,318,2017-07-28,105916
824,319,2013-11-17,40290
825,319,2020-06-20,58140
826,320,1987-03-03,100244
827,320,2008-01-21,112684
828,321,1976-04-30,43607
829,321,1985-03-13,77363
830,322,2026-03-09,90731
831,322,2026-03-29,107286
832,323,2005-10-18,45717
833,323,2006-09-19,147046
834,324,2019-02-08,46980
835,325,1991-08-18,31321
836,325,1996-09-22,39968
837,325,2002-04-03,49769
838,325,2009-04-11,50696
839,326,2019-03-21,142272
840,326,2019-06-08,149992
841,327,2005-12-18,35977
842,327,2010-10-03,77601
843,328,2018-03-18,76627
844,328,2022-04-23,81936
845,328,2026-02-13,98799
846,329,2026-04-14,47050
847,329,2026-04-19,49584
848,329,2026-05-25,68266
849,330,1990-02-27,32036
850,330,1998-07-14,41394
851,330,2001-03-06,92396
852,330,2014-10-12,95476
853,331,1998-06-11,44817
854,331,2014-10-01,55970
855,332,2024-07-21,38187
856,332,2025-01-16,48026
857,332,2025-09-27,48232
858,333,2002-09-28,110261
859,334,2008-04-01,134181
860,335,2017-05-10,30783
861,335,2022-01-31,37959
862,335,2025-10-09,86244
863,336,1994-04-04,108614
864,337,1994-11-11,47133
865,337,1996-11-29,59135
866,337,2000-07-09,106496
867,338,2023-10-10,123318
868,339,2013-11-25,74976
869,339,2024-02-03,86805
870,340,2001-10-03,41015
871,340,2003-11-06,114500
872,340,2022-10-30,136362
873,341,2000-12-20,46962
874,341,2016-01-17,83264
875,341,2025-06-05,84374
876,342,2009-11-18,122802
877,343,2002-02-20,33239
878,343,2005-01-15,37265
879,343,2016-08-21,40583
880,343,2016-10-23,44786
881,343,2022-03-29,44847
882,344,2019-08-21,36027
883,344,2019-10-29,38029
884,344,2021-07-29,51728
885,344,2023-02-22,81365
886,345,1998-04-05,73202
887,346,2002-05-04,41009
888,346,2006-10-05,86789
889,347,2020-08-13,42943
890,347,2021-09-09,44193
891,347,2023-01-04,46257
892,347,2025-02-17,53738
893,347,2026-02-22,56315
894,348,1995-03-09,90678
895,349,2016-11-08,41325
896,349,2018-09-04,53196
897,349,2022-09-05,88148
898,350,2025-02-11,54530
899,350,2025-10-17,96440
900,351,2014-03-20,44614
901,351,2018-08-28,50494
902,352,2026-04-04,34541
903,352,2026-04-19,110492
904,352,2026-06-04,111156
905,352,2026-06-09,118986
906,353,2020-07-24,68680
907,353,2020-08-16,95390
908,353,2026-01-08,98606
909,354,2001-04-02,92787
910,354,2008-10-18,97008
911,355,2010-09-03,127973
912,356,2021-12-26,34496
913,356,2024-05-30,58714
914,357,2024-05-03,114233
915,357,2024-05-28,142041
916,358,1986-10-15,62656
917,358,1990-10-11,98919
918,358,1995-04-10,112674
919,358,2003-10-12,119310
920,359,2022-06-13,32559
921,359,2022-07-09,77069
922,359,2023-12-29,80134
923,359,2025-01-25,92873
924,359,2026-04-23,98188
925,360,2011-06-16,52546
926,360,2018-05-09,61763
927,360,2019-11-25,92171
928,361,2010-12-01,34430
929,361,2018-08-06,35269
930,361,2020-07-08,36363
931,361,2021-10-19,38231
932,361,2023-12-27,43396
933,362,2004-03-03,55435
934,363,2013-11-22,58707
935,363,2020-02-29,120199
936,364,2026-02-21,56074
937,365,2009-09-21,37679
938,365,2016-12-02,66822
939,365,2023-02-09,91824
940,365,2024-11-30,133502
941,366,2009-11-26,106544
942,366,2015-02-23,130511
943,366,2020-07-01,133000
944,367,1994-07-20,33281
945,367,1996-10-03,35230
946,367,2007-03-03,38121
947,367,2009-08-13,51524
948,367,2014-08-17,60644
949,368,2024-09-05,47487
950,368,2026-02-12,55907
951,369,1995-08-21,30916
952,369,2007-06-24,42075
953,369,2008-04-16,42518
954,369,2022-02-13,43445
955,370,2018-07-28,58758
956,370,2020-01-14,105457
957,370,2020-12-29,134515
958,370,2022-03-09,140953
959,370,2025-09-29,145337
960,371,1999-12-27,41384
961,371,2008-05-11,80539
962,372,2010-07-03,93843
963,373,2001-10-08,75719
964,373,2010-04-26,78372
965,373,2018-01-31,81553
966,374,2024-09-29,49384
967,374,2024-12-20,56821
968,375,2022-02-06,105911
969,376,2023-06-26,66936
970,376,2024-01-24,67201
971,376,2024-07-20,79862
972,377,2008-01-18,108012
973,378,1994-05-21,53010
974,378,1994-06-23,70508
975,378,1998-02-22,94517
976,378,2009-02-26,101057
977,378,2010-02-04,123238
978,379,2016-02-03,41830
979,379,2016-11-03,109924
980,380,2024-11-13,116106
981,381,1990-08-21,31306
982,381,1994-09-05,64501
983,381,1998-09-13,84252
984,382,2021-02-15,35435
985,382,2025-07-01,45958
986,383,2014-10-01,47103
987,383,2015-03-15,53260
988,383,2015-05-29,56406
989,383,2016-11-01,74663
990,383,2018-04-10,121016
991,384,2025-03-23,32872
992,384,2025-06-08,37806
993,384,2025-09-17,49360
994,384,2026-02-06,72413
995,384,2026-05-27,124136
996,385,2005-04-27,44538
997,385,2018-11-19,48566
